"","lod"
"503",2.72425216588088
"504",2.18443555170738
"505",2.60831793477657
"506",1.90623924776904
"507",1.86525766495215
"508",2.2736495742928
"509",2.94075474212868
"510",2.22455748835074
"511",1.60237707730953
"512",1.77383920255487
"513",3.15156813130989
"514",2.428156278034
"515",1.42368581130938
"516",2.23648848325236
"517",2.28747992094783
"518",2.18438347843916
"519",1.1924708702897
"520",1.556615665392
"521",1.95008902142534
"522",1.45834974014095
"523",1.91534594111023
"524",3.51855666012487
"525",3.44070848167031
"526",2.72421831644913
"527",1.75959602402163
"528",1.24314230036586
"529",2.68297843358091
"530",1.39253989758679
"531",1.95398094100182
"532",2.0156608092105
"533",2.49762936685239
"534",1.558850637733
"535",1.95791185784977
"536",2.55806139384637
"537",2.12572253778536
"538",2.72348230079928
"539",1.08966340830371
"540",1.57504509447695
"541",1.3745616225295
"542",1.7941545853639
"543",3.50999983907137
"544",1.65596475830314
"545",1.38943861966243
"546",2.44461263383978
"547",3.1638744692947
"548",2.03253883563706
"549",1.96817645869324
"550",1.46520884679155
"551",1.43686225620631
"552",2.13376445828115
"553",3.13615563654614
"554",2.20306732160599
"555",3.71569516591268
"556",1.63402335458251
"557",1.22770893384659
"558",1.35588040130601
"559",3.18261564890534
"560",1.47059821154889
"561",1.67798733402722
"562",1.95865955605893
"563",1.75362165468161
"564",1.88105624961943
"565",1.66416247661844
"566",3.48443385991442
"567",2.19002880351003
"568",1.38910995922433
"569",1.47232087585232
"570",2.05709578818754
"571",2.82007529444823
"572",1.71870529611793
"573",2.53339379895918
"574",1.12765926339726
"575",1.4893777858275
"576",2.30811836407693
"577",2.04208488158521
"578",1.9933773119426
"579",2.28057077404576
"580",2.3703805586097
"581",2.21932749038676
"582",1.616299426339
"583",1.85177249502699
"584",1.42597837557479
"585",1.69271582497538
"586",1.23677034771265
"587",2.94985161476757
"588",1.7860465637595
"589",1.54686242206243
"590",5.0304878745967
"591",3.25894506288734
"592",2.51776606303311
"593",1.7803474180196
"594",1.70537999063207
"595",2.13643921488456
"596",1.47456056619573
"597",1.77287034146242
"598",2.82060087459263
"599",2.02892937977226
"600",1.92715250003452
"601",3.2756199406339
"602",1.28921699071341
"603",1.63601216534296
"604",2.01673856852973
"605",1.74975502812757
"606",1.62279549439592
"607",2.82597046028873
"608",2.04960221521898
"609",2.71739495024194
"610",5.64860993027989
"611",1.37792256276228
"612",2.61657704850177
"613",1.37551241414793
"614",2.42437899028685
"615",2.05484080042712
"616",2.62220589309312
"617",1.02615369268344
"618",1.99382719648263
"619",2.25039016122878
"620",1.38637734137946
"621",2.7911359109677
"622",1.61744030887073
"623",1.68458410326151
"624",1.71963586648758
"625",2.04554090087642
"626",2.49322938283127
"627",1.91096381524262
"628",2.53982500107571
"629",2.70138944564144
"630",1.85955247245566
"631",2.39132097406974
"632",1.23867653713837
"633",1.94077125037934
"634",2.13286242863214
"635",2.57822603694495
"636",2.75240382125281
"637",2.28987613378435
"638",1.70160633291862
"639",1.86808017452812
"640",1.02731937728043
"641",2.5219491944891
"642",2.36856431201107
"643",2.92711363175654
"644",2.50934598784735
"645",2.47767386490446
"646",1.3866586963847
"647",1.14263349589567
"648",1.63357085619502
"649",1.99532025728556
"650",2.27461721681112
"651",1.55975753153308
"652",1.00238130556286
"653",1.39532205844026
"654",2.51541211817792
"655",3.05149347117603
"656",1.364593640195
"657",1.23045430948189
"658",2.83923704170091
"659",1.61764823986915
"660",2.16537361201598
"661",3.2816397183918
"662",2.48137310004169
"663",1.79397166826202
"664",1.89240881888779
"665",1.3947696716194
"666",2.44858168308453
"667",2.8913164010804
"668",1.73695470288661
"669",1.58853183597066
"670",1.65834861977152
"671",1.75569057109028
"672",2.29493283416264
"673",2.85909206434175
"674",1.42535116244905
"675",1.73109199859937
"676",2.41493355319314
"677",2.58959359892459
"678",4.96493015949183
"679",2.5716174334395
"680",1.87988998717779
"681",1.7554083438644
"682",1.11998825642857
"683",3.17820943380951
"684",2.07607666793695
"685",2.50359513752346
"686",2.86435767335846
"687",1.78196560367888
"688",1.50301943078674
"689",1.42560767344992
"690",1.67715526131413
"691",1.92924781127813
"692",2.25430995658242
"693",2.39487719451974
"694",1.59033340264249
"695",2.91421432248129
"696",1.35564389208292
"697",1.92299297719185
"698",2.20592162493409
"699",3.66543329919988
"700",3.31166574248726
"701",1.40525522281855
"702",1.85186457418082
"703",1.42355770894449
"704",1.42136228231813
"705",2.13588112849706
"706",2.57753974483222
"707",3.40435042077392
"708",3.26843003153019
"709",1.43694826061305
"710",1.47701956181287
