task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
140	6d/598444	2993133	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:33:55.900	317ms	0ms	58.5%	5.9 MB	18.2 MB	264 KB	193.9 KB
141	46/c767aa	2993319	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:33:56.225	320ms	0ms	41.6%	5.9 MB	18.2 MB	325.8 KB	255.6 KB
142	81/9d1060	2993506	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDCLIP (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:33:56.553	330ms	0ms	63.5%	5.5 MB	18.2 MB	510.5 KB	440.4 KB
147	2a/42176d	2993691	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:SUBREAD_FEATURECOUNTS (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:33:56.891	426ms	0ms	79.1%	10.6 MB	63.9 MB	4 MB	7 KB
65	ae/0cb3be	2961614	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (WT_REP1)	COMPLETED	0	2026-09-14 11:31:55.422	2m 4s	2m 4s	148.7%	951 MB	5 GB	98.8 MB	21.2 MB
154	04/f25c36	2993882	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:33:57.344	2.6s	2.3s	164.0%	50.9 MB	1.2 GB	21.5 MB	1.8 MB
150	4b/c39593	2994179	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:33:59.527	1.8s	1.5s	196.5%	21.5 MB	32.6 MB	21.6 MB	89.1 KB
148	46/e95b7f	2994493	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:33:59.968	2.3s	1.9s	174.8%	52.4 MB	1.3 GB	21.5 MB	33.7 KB
155	7f/dea3ef	2995139	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:SAMTOOLS_SORT_QUALIMAP (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:34:02.257	648ms	365ms	185.6%	43.5 MB	3.6 GB	7.4 MB	9.2 MB
149	b0/e14dba	2994906	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:34:01.364	1.7s	1.4s	212.6%	102 MB	2.5 GB	21.5 MB	27.2 KB
151	e6/4cc77c	2995499	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:34:02.913	1.4s	1s	192.5%	10.1 MB	16.8 MB	15.4 MB	1.5 KB
152	b5/ab4004	2995567	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:34:03.120	1.4s	1.1s	187.8%	9.3 MB	16.8 MB	15.3 MB	1.2 KB
158	3b/38fdf7	2996035	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV_REV (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:04.568	530ms	247ms	72.7%	11.2 MB	3 GB	2 MB	382.8 KB
159	da/c14bfc	2996025	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV_FW (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:04.554	553ms	251ms	63.5%	10.6 MB	3 GB	1.9 MB	253.1 KB
160	8f/3718ee	2996032	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV_COMBINED (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:04.561	563ms	269ms	77.3%	11.1 MB	3 GB	2.1 MB	628.2 KB
161	0d/325e83	2996041	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (WT_REP2)	COMPLETED	0	2026-09-14 11:34:04.574	617ms	1s	23.4%	4.1 MB	24.7 MB	808.8 KB	114.2 KB
162	5e/061017	2996887	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDGRAPHTOBIGWIG (WT_REP2)	COMPLETED	0	2026-09-14 11:34:05.108	401ms	0ms	58.0%	6.9 MB	24.8 MB	1.3 MB	156.2 KB
165	fd/23f0f9	2996896	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (WT_REP2)	COMPLETED	0	2026-09-14 11:34:05.133	393ms	0ms	48.6%	3.1 MB	4.3 MB	612.6 KB	100.1 KB
164	b8/046c9d	2996892	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:CUSTOM_MULTIQCCUSTOMBIOTYPE (WT_REP2)	COMPLETED	0	2026-09-14 11:34:05.117	656ms	0ms	22.7%	296 KB	6.9 MB	1.1 MB	1.1 KB
166	df/794201	2996999	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:CUSTOM_MULTIQCCUSTOMBIOTYPE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:34:05.200	569ms	0ms	27.7%	1.1 MB	9.8 MB	1.2 MB	1.1 KB
169	7b/46cb70	2997498	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:34:05.535	467ms	0ms	56.8%	8.2 MB	24.8 MB	905.4 KB	123.7 KB
168	c3/d4b4c5	2997497	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDGRAPHTOBIGWIG (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:34:05.517	496ms	0ms	59.5%	7.5 MB	24.8 MB	1.5 MB	175 KB
170	8f/103261	2997710	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:34:05.777	392ms	0ms	58.5%	8.7 MB	24.8 MB	731.5 KB	110.7 KB
153	f8/27bc44	2995902	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:34:04.320	1.9s	1.1s	164.8%	12 MB	18.3 MB	15.3 MB	658 B
171	6f/181642	2997733	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:34:05.787	404ms	0ms	51.1%	8.8 MB	24.8 MB	670.9 KB	105.2 KB
172	22/bf9fae	2998327	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:34:06.011	398ms	0ms	50.5%	7.4 MB	24.8 MB	867 KB	119.8 KB
173	f9/188fb4	2998346	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDGRAPHTOBIGWIG (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:34:06.021	420ms	0ms	62.8%	6.8 MB	24.8 MB	1.4 MB	167 KB
174	1c/955587	2998769	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:CUSTOM_MULTIQCCUSTOMBIOTYPE (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:34:06.177	419ms	0ms	53.5%	1.3 MB	9.8 MB	1.2 MB	1.1 KB
157	bb/b6a8b7	2999162	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:06.417	434ms	141ms	45.2%	3.3 MB	4.6 MB	1.8 MB	3.8 KB
175	0f/f00a12	2998778	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (WT_REP1)	COMPLETED	0	2026-09-14 11:34:06.187	778ms	466ms	214.7%	40.7 MB	3.4 GB	23.7 MB	18 MB
156	29/6f2f7b	2999555	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:06.861	458ms	0ms	75.0%	4.5 MB	11.7 MB	2 MB	102.9 KB
167	02/bd9bb5	2999923	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:QUALIMAP_RNASEQ (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:34:07.326	3.4s	3s	214.5%	224.3 MB	15.1 GB	18.2 MB	473.4 KB
163	b6/5cf5ea	2999609	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:QUALIMAP_RNASEQ (WT_REP2)	COMPLETED	0	2026-09-14 11:34:06.973	3.8s	3s	192.5%	235.2 MB	15.1 GB	18 MB	465.2 KB
177	64/406e16	3000566	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:QUALIMAP_RNASEQ (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:34:10.792	3s	2s	241.9%	230.4 MB	15.5 GB	18.3 MB	465.1 KB
178	96/0a70be	3001252	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:13.751	324ms	1s	57.1%	5.6 MB	18.2 MB	261.6 KB	191.5 KB
179	28/b31c96	3001443	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:14.083	325ms	0ms	58.2%	6.1 MB	18.2 MB	196.8 KB	126.7 KB
176	95/44a360	3000560	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:SALMON_QUANT (WT_REP1)	COMPLETED	0	2026-09-14 11:34:10.778	3.7s	3s	127.9%	978.7 MB	1.1 GB	9.9 MB	30.5 KB
180	38/4c887c	3001711	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDCLIP (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:14.415	413ms	0ms	40.2%	3.1 MB	5.4 MB	384.3 KB	314.2 KB
181	63/e371ac	3001719	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:14.437	589ms	195ms	20.1%	3.3 MB	4.6 MB	285.3 KB	2.6 KB
182	27/4e685e	3001724	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:14.450	580ms	206ms	29.2%	3.4 MB	4.6 MB	1.8 MB	3.1 KB
183	98/8f7367	3001721	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:14.444	670ms	325ms	46.4%	2.1 MB	4.3 MB	1.8 MB	47.7 KB
195	bb/ba9828	3002634	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:15.035	497ms	0ms	27.5%	7.3 MB	24.8 MB	674.6 KB	105 KB
196	2f/42af6f	3002644	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:15.043	498ms	0ms	27.8%	3.1 MB	4.3 MB	491 KB	90.5 KB
198	0b/782f7d	3002760	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDGRAPHTOBIGWIG (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:15.122	428ms	0ms	46.7%	3.2 MB	4.3 MB	1 MB	139.5 KB
194	89/a069e1	3003316	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (WT_REP1)	COMPLETED	0	2026-09-14 11:34:15.549	470ms	189ms	59.3%	7.5 MB	212.9 MB	6.5 MB	5 KB
189	ed/2bae30	3002413	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:14.839	1.2s	815ms	192.3%	12.2 MB	18.4 MB	13.3 MB	1.1 KB
200	34/2677ca	3003572	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (WT_REP1)	COMPLETED	0	2026-09-14 11:34:16.091	446ms	143ms	31.0%	3.4 MB	4.6 MB	286.5 KB	2.6 KB
199	06/7b6448	3003561	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (WT_REP1)	COMPLETED	0	2026-09-14 11:34:16.076	608ms	215ms	46.8%	7.4 MB	209.1 MB	6.4 MB	3.1 KB
201	25/a35ac7	3003571	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (WT_REP1)	COMPLETED	0	2026-09-14 11:34:16.083	750ms	438ms	81.9%	8.3 MB	146.6 MB	6.5 MB	76.4 KB
188	7b/1682e9	3003551	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:16.068	1.9s	1.4s	200.5%	18.8 MB	30.5 MB	19.6 MB	85.2 KB
184	2d/6604df	3001726	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:DUPRADAR (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:14.459	5.1s	4.8s	90.9%	232.7 MB	1.7 GB	27.1 MB	107.6 KB
191	cc/a078d2	3004838	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:17.975	1.6s	1.1s	253.5%	10.4 MB	16.8 MB	19.5 MB	27.2 KB
187	d7/57d398	3006773	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:SUBREAD_FEATURECOUNTS (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:19.577	391ms	0ms	70.8%	23.8 MB	540.1 MB	2 MB	6.9 KB
190	26/2d6454	3006782	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:19.609	1.2s	865ms	205.6%	9.8 MB	16.8 MB	13.4 MB	640 B
186	13/32e0d1	3007122	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:19.975	1.1s	784ms	242.8%	9.2 MB	16.8 MB	13.5 MB	1.5 KB
185	6a/f83afd	3007502	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:SAMTOOLS_SORT_QUALIMAP (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:21.132	556ms	227ms	153.9%	30.8 MB	3.6 GB	3.5 MB	4.4 MB
192	a6/20d55f	3007757	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:21.696	855ms	526ms	163.0%	25.6 MB	55.7 MB	6 MB	396 B
193	c1/f8744b	3007332	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:34:20.775	1.9s	1.5s	203.3%	101.6 MB	2.4 GB	19.5 MB	32.7 KB
202	a4/7e9688	3008431	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (WT_REP1)	COMPLETED	0	2026-09-14 11:34:22.641	7.2s	6.8s	205.2%	4.1 GB	16 GB	34.7 MB	7.5 MB
